RIC
USDSB3L1Y=
USDSB3L2Y=
USDSB3L3Y=
USDSB3L4Y=
USDSB3L5Y=
USDSB3L6Y=
USDSB3L7Y=
USDSB3L8Y=
USDSB3L9Y=
USDSB3L10Y=
USDSB3L11Y=
USDSB3L12Y=
USDSB3L13Y=
USDSB3L14Y=
USDSB3L15Y=
USDSB3L20Y=
USDSB3L25Y=
USDSB3L30Y=
USDSB3L40Y=
USDSB3L50Y=
